goos: linux
goarch: amd64
pkg: inmemcache
cpu: AMD Ryzen 9 9950X3D 16-Core Processor          
BenchmarkCache/impl=mutex/dist=uniform/mix=r50             	 6432181	       185.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50             	 6191020	       181.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50             	 6495190	       192.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50             	 6337782	       188.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50             	 6257528	       193.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-2           	 5752623	       198.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-2           	 5824734	       208.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-2           	 5447581	       221.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-2           	 5946199	       202.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-2           	 6715500	       187.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-4           	 5981437	       187.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-4           	 5961136	       202.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-4           	 6293361	       192.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-4           	 6355640	       197.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-4           	 6310165	       187.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-8           	 5705994	       194.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-8           	 6080862	       198.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-8           	 6201651	       204.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-8           	 5690701	       204.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-8           	 6209877	       194.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-16          	 5845186	       205.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-16          	 5862981	       206.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-16          	 5201724	       220.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-16          	 5274621	       203.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r50-16          	 5863893	       231.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10             	 5107616	       220.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10             	 5398678	       222.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10             	 5671824	       195.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10             	 6234760	       194.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10             	 6378958	       196.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-2           	 5755645	       205.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-2           	 5564620	       223.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-2           	 6746164	       179.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-2           	 6070650	       201.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-2           	 6066412	       190.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-4           	 5895783	       190.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-4           	 6083346	       202.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-4           	 5844336	       189.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-4           	 6166515	       187.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-4           	 6010146	       212.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-8           	 5622331	       191.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-8           	 5835046	       194.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-8           	 5974236	       194.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-8           	 5888881	       194.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-8           	 6097182	       191.1 ns/op	       0 B/op	       0 allocs/op
